"","eip"
"1",0.37
"2",0.57
"3",0.25
"4",0.04
"5",0.13
"6",0.11
"7",0.42
"8",0.19
"9",0.11
"10",0.29
"11",0.55
"12",0.83
"13",0.81
"14",0.28
"15",0.3
"16",0.08
"17",0.23
"18",0.76
"19",0.19
"20",0.08
"21",0.31
"22",0.07
"23",0.11
"24",0.31
"25",0.31
"26",0.31
"27",0.51
"28",0.75
"29",0.13
"30",0.15
"31",0.45
"32",0.29
"33",0.11
"34",0.53
"35",0.55
"36",0.19
"37",0.13
"38",0.49
"39",0.19
"40",0.38
"41",0.1
"42",0.22
"43",0.91
"44",0.13
"45",0.14
"46",0.2
"47",0.34
"48",0.17
"49",0
"50",0.02
"51",0.18
"52",0.53
"53",0.12
"54",0.15
"55",0.12
"56",0.59
"57",0.18
"58",0.48
"59",0.09
"60",0.33
"61",0.78
"62",0.22
"63",0.33
"64",0.14
"65",0.12
"66",0.32
"67",0.29
"68",0.47
"69",0.19
"70",0.11
"71",0.05
"72",0.31
"73",0.15
"74",0.2
"75",0.17
"76",0.28
"77",0.31
"78",0.05
"79",0.6
"80",0.1
"81",0.55
"82",0.09
"83",0.65
"84",0.09
"85",0.11
"86",0.35
"87",0.22
"88",0.15
"89",0.09
"90",0.18
"91",0.45
"92",0.25
"93",0.52
"94",0.17
"95",1
"96",0.36
"97",0.2
"98",0.25
"99",0.24
"100",0.37
"101",0.79
"102",0.03
"103",0.13
"104",0.14
"105",0.18
"106",0.63
"107",0.08
"108",0.39
"109",0.12
"110",0.16
"111",0.35
"112",0.25
"113",0.26
"114",0.23
"115",0.14
"116",0.23
"117",0.3
"118",0.12
"119",0.12
"120",0.05
"121",0.09
"122",0.35
"123",0.32
"124",0.07
"125",0.14
"126",0.27
"127",0.39
"128",0.77
"129",0.79
"130",0.15
"131",0.14
"132",0.26
"133",0.12
"134",0.08
"135",0.03
"136",1
"137",0.35
"138",0.12
"139",0.17
"140",0.53
"141",0.11
"142",0.16
"143",0.25
"144",0.11
"145",0.19
"146",0.16
"147",0.36
"148",0.14
"149",0.53
"150",0.08
"151",0.54
"152",1
"153",0.34
"154",0.11
"155",0.24
"156",0.43
"157",0.28
"158",0.17
"159",0.28
"160",0.35
"161",0.12
"162",0.21
"163",0.3
"164",0.3
"165",0.22
"166",0.18
"167",0.09
"168",0.32
"169",1
"170",0.27
"171",0.91
"172",0.26
"173",0.35
"174",0.4
"175",0.35
"176",0.1
"177",0.51
"178",0.37
"179",0.1
"180",0.04
"181",0.16
"182",0.15
"183",0.09
"184",0.23
"185",0.13
"186",0.64
"187",1
"188",1
"189",1
"190",1
"191",0.2
"192",0.38
"193",0.22
"194",0.6
"195",0.21
"196",0.11
"197",0.59
"198",0.12
"199",0.21
"200",0.09
"201",0.08
"202",0.15
"203",0.1
"204",0.25
"205",0.13
"206",1
"207",0.36
"208",0.95
"209",0.29
"210",1
"211",0.07
"212",0.13
"213",0.16
"214",0.17
"215",0.83
"216",0.48
"217",0.66
"218",0.05
"219",0.23
"220",0.39
"221",0.01
"222",0.78
"223",0.11
"224",0.28
"225",0.26
"226",0.99
"227",0.51
"228",0.93
"229",1
"230",1
"231",0.32
"232",0.35
"233",0.21
"234",0.21
"235",0.15
"236",0.1
"237",0.47
"238",0.35
"239",0.15
"240",0.1
"241",0.21
"242",0.29
"243",0.06
"244",0.08
"245",0.1
"246",0.37
"247",1
"248",0.3
"249",0.93
"250",0.37
"251",1
"252",0.25
"253",0.83
"254",0.15
"255",0.39
"256",0.44
"257",0.13
"258",0.11
"259",0.07
"260",0.22
"261",0.26
"262",0.46
"263",0.18
"264",0.1
"265",0.18
"266",0.37
"267",0.57
"268",0.32
"269",0.12
"270",0.72
"271",0.26
"272",0.26
"273",0.21
"274",0.41
"275",0.31
"276",0.24
"277",0.36
"278",0.12
"279",0.08
"280",0.06
"281",0.05
"282",0.11
"283",0.37
"284",0.28
"285",0.1
"286",0.19
"287",0.62
"288",0.17
"289",0.41
"290",0.23
"291",0.19
"292",0.19
"293",0.45
"294",0.32
"295",0.28
"296",0.1
"297",0.24
"298",0.29
"299",0.39
"300",0.45
"301",0.29
"302",0.14
"303",0.06
"304",0.93
"305",0.3
"306",0.5
"307",0.19
"308",0.68
"309",0.24
"310",0.15
"311",0.2
"312",0.15
"313",0.13
"314",0.32
"315",0.9
"316",0.56
"317",0.12
"318",0.43
"319",0.15
"320",0.1
"321",0.19
"322",0.07
"323",0.29
"324",0.6
"325",0.6
"326",0.14
"327",0.19
"328",0.13
"329",0.72
"330",0.47
"331",0.11
"332",0.18
"333",0.42
"334",0.07
"335",0.08
"336",0.03
"337",0.17
"338",0.05
"339",0.18
"340",0.7
"341",0.12
"342",0.26
"343",0.22
"344",0.38
"345",0.16
"346",0.48
"347",0.09
"348",0.46
"349",0.28
"350",0.65
"351",0.29
"352",0.13
"353",0.15
"354",0.24
"355",0.17
"356",0.03
"357",0.14
"358",0.19
"359",0.2
"360",0.09
"361",0.18
"362",0.31
"363",0.23
"364",0.04
"365",0.06
"366",0.23
"367",0.26
"368",0.08
"369",0.15
"370",0.17
"371",0.2
"372",0.12
"373",0.06
"374",0.29
"375",0.2
"376",0.41
"377",0.42
"378",0.72
"379",0.48
"380",0.13
"381",0.16
"382",0.29
"383",0.04
"384",0.12
"385",0.16
"386",0.17
"387",0.23
"388",0.1
"389",0.13
"390",0.74
"391",0.39
"392",0.27
"393",0.31
"394",0.55
"395",0.13
"396",0.17
"397",0.15
"398",0.11
"399",0.13
"400",0.05
"401",0.2
"402",0.17
"403",0.52
"404",0.37
"405",0.42
"406",0.3
"407",0.99
"408",0.72
"409",0.41
"410",0.54
"411",0.12
"412",0.38
"413",0.16
"414",0.27
"415",0.3
"416",0.11
"417",0.15
"418",0.77
"419",0.32
"420",0.94
"421",0.42
"422",0.57
"423",0.12
"424",0.08
"425",0.68
"426",0.28
"427",0.14
"428",0.23
"429",0.09
"430",0.98
"431",0.58
"432",0.3
"433",0.19
"434",0.14
"435",0.5
"436",0.59
"437",0.37
"438",0.31
"439",0.7
"440",0.08
"441",0.29
"442",0.3
"443",0.47
"444",0.4
"445",0.27
"446",0.31
"447",0.17
"448",0.17
"449",0.1
"450",0.15
"451",0.08
"452",0.2
"453",0.35
"454",0.2
"455",0.16
"456",0.45
"457",0.19
"458",0.79
"459",0.18
"460",0.41
"461",0.41
"462",0.14
"463",0.08
"464",0.09
"465",0.35
"466",0.14
"467",0.07
"468",0.12
"469",0.7
"470",0
"471",0.36
"472",0.14
"473",0.23
"474",0.06
"475",0.2
"476",0.47
"477",0.05
"478",0.14
"479",0.18
"480",0.56
"481",0.13
"482",0.63
"483",0.71
"484",0.8
"485",0.45
"486",0.54
"487",0.24
"488",0.41
"489",0.91
"490",0.43
"491",0.37
"492",0.64
"493",0.47
"494",0.27
"495",0.15
"496",0.17
"497",0.17
"498",0.11
"499",0.04
"500",0.58
"501",0.06
"502",0.33
"503",0.22
"504",0.42
"505",0.16
"506",0.1
"507",0.2
"508",0.11
"509",0.22
"510",0.51
"511",0.51
"512",0.32
"513",0.25
"514",0.11
"515",0.24
"516",0.06
"517",0.17
"518",0.23
"519",0.32
"520",0.24
"521",0.4
"522",0.75
"523",0.62
"524",0.38
"525",0.54
"526",0.2
"527",0.19
"528",1
"529",0.27
"530",0.19
"531",0.95
"532",0.04
"533",0.49
"534",0.53
"535",0.57
"536",0.64
"537",0.14
"538",0.23
"539",0.11
"540",0.08
"541",0.53
"542",0.19
"543",0.1
"544",0.07
"545",0.52
"546",0.26
"547",0.2
"548",0.38
"549",0.08
"550",0.2
"551",0.08
"552",0.2
"553",0.24
"554",0.83
"555",0.3
"556",0.18
"557",0.7
"558",0.9
"559",0.96
"560",0.19
"561",0.1
"562",0.3
"563",0.3
"564",0.45
"565",0.25
"566",0.19
"567",0.16
"568",0.11
"569",0.11
"570",0.2
"571",0.17
"572",0.17
"573",1
"574",0.31
"575",0.17
"576",0.2
"577",0.15
"578",0.39
"579",0.26
"580",0.33
"581",0.11
"582",0.07
"583",0.19
"584",0.05
"585",0.63
"586",0.32
"587",0.2
"588",0.22
"589",0.4
"590",0.33
"591",0.35
"592",0.29
"593",0.81
"594",0.19
"595",0.68
"596",0.03
"597",0.12
"598",0.08
"599",0.08
"600",0.1
"601",0.11
"602",0.08
"603",0.36
"604",0.14
"605",0.43
"606",0.14
"607",0.26
"608",0.8
"609",0.1
"610",0.22
"611",0.55
"612",0.07
"613",0.3
"614",0.1
"615",0.14
"616",0.06
"617",0.09
"618",0.06
"619",0.32
"620",0.15
"621",0.57
"622",0.49
"623",0.09
"624",0.53
"625",0.42
"626",0.08
"627",0.54
"628",0.24
"629",0.17
"630",0.37
"631",0.67
"632",0.15
"633",0.08
"634",0.28
"635",0.15
"636",0.15
"637",0.26
"638",0.1
"639",0.14
"640",0.09
"641",0.17
"642",0.39
"643",0.22
"644",0.09
"645",0.43
"646",0.51
"647",0.2
"648",0.14
"649",0.7
"650",0.05
"651",0.76
"652",0.04
"653",0.11
"654",0.16
"655",0.96
"656",0.16
"657",0.55
"658",0.26
"659",0.07
"660",1
"661",0.52
"662",0.94
"663",0.19
"664",0.18
"665",0.3
"666",0.27
"667",0.13
"668",0.12
"669",0.77
"670",0.16
"671",0.49
"672",0.31
"673",0.88
"674",0.2
"675",0.17
"676",0.22
"677",0.22
"678",0.67
"679",0.18
"680",0.29
"681",0.2
"682",0.13
"683",0.5
"684",0.77
"685",0.17
"686",0.37
"687",0.34
"688",0.3
"689",0.21
"690",0.61
"691",0.63
"692",0.38
"693",0.16
"694",1
"695",0.37
"696",0.08
"697",0.34
"698",0.87
"699",0.46
"700",0.26
"701",0.1
"702",0.18
"703",0.19
"704",0.41
"705",0.38
"706",0.19
"707",0.33
"708",0.14
"709",0.22
"710",0.22
"711",0.14
"712",0.21
"713",0.49
"714",0.05
"715",0.19
"716",0.11
"717",0.04
"718",0.09
"719",0.15
"720",0.65
"721",0.08
"722",0.61
"723",0.08
"724",0.1
"725",0.26
"726",0.09
"727",0.96
"728",0.18
"729",0.22
"730",0.34
"731",0.46
"732",0.35
"733",0.21
"734",0.26
"735",0.74
"736",0.56
"737",0.41
"738",0.16
"739",0.51
"740",0.51
"741",0.26
"742",0.51
"743",0.16
"744",0.31
"745",0.23
"746",0.5
"747",0.22
"748",0.34
"749",0.41
"750",0.34
"751",0.24
"752",0.04
"753",0.6
"754",0.19
"755",0.17
"756",0.35
"757",0.47
"758",0.1
"759",0.2
"760",0.54
"761",0.11
"762",0.52
"763",0.26
"764",0.16
"765",0.22
"766",0.27
"767",0.11
"768",0.92
"769",0.06
"770",0.33
"771",0.44
"772",0.17
"773",0.18
"774",0.15
"775",0.24
"776",0.12
"777",0.74
"778",0.09
"779",0.78
"780",0.72
"781",0.93
"782",0.1
"783",0.58
"784",0.63
"785",0.18
"786",0.33
"787",0.12
"788",0.14
"789",0.29
"790",0.24
"791",0.12
"792",0.1
"793",0.16
"794",0.22
"795",0.44
"796",0.11
"797",0.15
"798",0.85
"799",0.2
"800",0.16
"801",0.34
"802",0.28
"803",0.04
"804",0.37
"805",0.56
"806",0.12
"807",0.33
"808",0.22
"809",0.25
"810",0.2
"811",0.49
"812",0.31
"813",0.46
"814",0.23
"815",0.46
"816",0.16
"817",0.15
"818",0.16
"819",0.39
"820",0.32
"821",0.71
"822",0.44
"823",0.2
"824",0.16
"825",0.64
"826",0.83
"827",0.54
"828",0.52
"829",0.19
"830",0.15
"831",0.18
"832",0.24
"833",0.08
"834",0.25
"835",0.14
"836",0.18
"837",0.34
"838",0.1
"839",0.06
"840",0.1
"841",0.1
"842",0.15
"843",0.36
"844",0.4
"845",0.03
"846",0.3
"847",0.24
"848",0.08
"849",0.12
"850",0.15
"851",0.17
"852",0.66
"853",0.42
"854",0.24
"855",0.25
"856",0.36
"857",0.51
"858",0.4
"859",0.43
"860",0.13
"861",0.11
"862",0.11
"863",0.19
"864",0.45
"865",0.38
"866",0.03
"867",0.28
"868",0.12
"869",0.38
"870",0.18
"871",0.06
"872",0.01
"873",0.07
"874",0.18
"875",0.14
"876",0.39
"877",0.24
"878",0.16
"879",0.45
"880",0.25
"881",0.2
"882",0.38
"883",0.09
"884",0.19
"885",0.27
"886",0.1
"887",0.34
"888",0.34
"889",0.14
"890",0.22
"891",0.26
"892",0.67
"893",0.52
"894",0.51
"895",0.21
"896",0.33
"897",0.67
"898",0.49
"899",0.36
"900",0.45
"901",0.99
"902",0.17
"903",0.1
"904",0.2
"905",0.25
"906",0.2
"907",0.12
"908",0.26
"909",0.18
"910",0.21
"911",0.13
"912",0.21
"913",0.58
"914",0.12
"915",0.68
"916",0.45
"917",0.32
"918",0.1
"919",0.14
"920",0.35
"921",0.19
"922",0.33
"923",0.91
"924",0.22
"925",0.75
"926",0.52
"927",0.24
"928",0.32
"929",0.34
"930",0.24
"931",0.33
"932",0.24
"933",0.63
"934",0.14
"935",0.83
"936",0.59
"937",0.25
"938",0.56
"939",0.18
"940",0.2
"941",0.34
"942",0.19
"943",0.28
"944",0.52
"945",0.45
"946",0.27
"947",0.56
"948",0.54
