"","eip"
"1",0.39
"2",0.18
"3",0.12
"4",0.14
"5",0.21
"6",0.74
"7",0.19
"8",0.22
"9",0.18
"10",0.32
"11",0.2
"12",0.15
"13",0.68
"14",0.09
"15",0.53
"16",0.2
"17",0.16
"18",0.9
"19",0.29
"20",0.53
"21",0.18
"22",0.24
"23",0.4
"24",0.25
"25",0.16
"26",0.13
"27",0.13
"28",0.45
"29",0.07
"30",0.16
"31",0.2
"32",0.28
"33",0.11
"34",0.31
"35",0.89
"36",1
"37",0.11
"38",0.35
"39",0.28
"40",0.52
"41",0.2
"42",0.14
"43",0.28
"44",0.82
"45",0.98
"46",0.58
"47",0.05
"48",0.22
"49",0.39
"50",0.19
"51",0.1
"52",0.12
"53",0.29
"54",0.06
"55",0.14
"56",0.14
"57",0.05
"58",0.07
"59",0.07
"60",0.29
"61",0.02
"62",0.03
"63",0.09
"64",0.08
"65",0.13
"66",1
"67",0.33
"68",0.1
"69",0.25
"70",0.14
"71",0.23
"72",0.22
"73",0.72
"74",0.14
"75",0.39
"76",0.16
"77",0.05
"78",0.25
"79",0.08
"80",0.46
"81",0.19
"82",0.26
"83",0.15
"84",0.35
"85",0.15
"86",0.16
"87",0.18
"88",0.29
"89",0.29
"90",0.25
"91",0.13
"92",0.09
"93",0.17
"94",0.09
"95",0.21
"96",0.14
"97",0.1
"98",0.24
"99",0.17
"100",0.2
"101",0.34
"102",0.11
"103",0.15
"104",0.52
"105",0.94
"106",0.1
"107",0.12
"108",0.24
"109",0.18
"110",0.55
"111",0.1
"112",0.17
"113",0.29
"114",0.09
"115",0.62
"116",0.05
"117",0.17
"118",0.41
"119",0.66
"120",1
"121",0.14
"122",0.05
"123",0.13
"124",0.15
"125",0.18
"126",0.05
"127",0.24
"128",0.14
"129",0.2
"130",0.11
"131",0.07
"132",0.35
"133",0.09
"134",0.17
"135",0.28
"136",0.17
"137",0.13
"138",0.21
"139",0.19
"140",0.11
"141",0.27
"142",0.11
"143",0.16
"144",0.3
"145",0.23
"146",0.14
"147",0.18
"148",0.05
"149",0.33
"150",0.15
"151",0.14
"152",0.15
"153",0.97
"154",0.19
"155",0.35
"156",0.1
"157",0.08
"158",0.06
"159",0.09
"160",0.08
"161",0.12
"162",0.2
"163",0.08
"164",0.05
"165",0.23
"166",0.26
"167",0.11
"168",0.21
"169",0.09
"170",0.99
"171",1
"172",0.18
"173",0.14
"174",0.1
"175",0.38
"176",0.11
"177",0.12
"178",0.13
"179",0.11
"180",0.16
"181",0.12
"182",0.06
"183",0.25
"184",0.35
"185",0.14
"186",0.15
"187",0.13
"188",1
"189",0.98
"190",1
"191",0.27
"192",0.32
"193",0.09
"194",0.23
"195",0.51
"196",0.23
"197",0.11
"198",0.15
"199",0.1
"200",0.31
"201",0.13
"202",0.11
"203",0.15
"204",0.24
"205",0.14
"206",0.27
"207",0.24
"208",0.09
"209",0.04
"210",0.09
"211",0.19
"212",0.12
"213",0.33
"214",0.11
"215",0.15
"216",0.11
"217",0.2
"218",0.09
"219",0.12
"220",0.09
"221",0.06
"222",0.05
"223",0.07
"224",0.31
"225",0.1
"226",0.12
"227",0.11
"228",0.09
"229",0.13
"230",0.1
"231",0.73
"232",0.1
"233",0.13
"234",0.19
"235",0.34
