"","eip"
"1",0.13
"2",0.38
"3",0.22
"4",0.42
"5",0.2
"6",0.19
"7",0.24
"8",0.54
"9",0.16
"10",0.16
"11",0.42
"12",0.17
"13",0.23
"14",0.43
"15",0.36
"16",0.19
"17",0.21
"18",0.4
"19",0.24
"20",0.2
"21",0.15
"22",0.13
"23",0.22
"24",0.2
"25",0.29
"26",0.27
"27",0.15
"28",0.7
"29",0.31
"30",0.16
"31",0.23
"32",0.2
"33",0.14
"34",0.2
"35",0.24
"36",0.99
"37",0.27
"38",0.28
"39",0.3
"40",0.32
"41",0.36
"42",0.28
"43",0.2
"44",0.22
"45",0.19
"46",0.19
"47",0.23
"48",0.24
"49",0.88
"50",0.17
"51",0.52
"52",0.34
"53",0.21
"54",0.2
"55",0.18
"56",0.26
"57",0.19
"58",0.42
"59",0.17
"60",0.32
"61",0.13
"62",1
"63",0.16
"64",0.14
"65",0.31
"66",0.3
"67",0.44
"68",0.25
"69",0.2
"70",0.18
"71",0.19
"72",0.2
"73",0.73
"74",0.72
"75",0.35
"76",0.46
"77",0.58
"78",0.43
"79",0.37
"80",0.17
"81",0.21
"82",0.17
"83",0.18
"84",0.36
"85",0.24
"86",0.2
"87",0.44
"88",0.16
"89",0.28
"90",0.32
"91",0.19
"92",0.33
"93",0.18
"94",0.11
"95",0.13
"96",0.64
"97",0.26
"98",0.43
"99",0.5
"100",0.31
"101",0.17
"102",0.57
"103",0.37
"104",0.2
"105",0.43
"106",0.23
"107",0.23
"108",0.22
"109",0.17
"110",0.23
"111",0.23
"112",0.19
"113",0.2
"114",0.18
"115",0.2
"116",0.28
"117",0.72
"118",0.45
"119",0.63
"120",0.42
"121",0.23
"122",0.3
"123",0.26
"124",0.27
"125",0.55
"126",0.19
"127",0.12
"128",1
"129",0.92
"130",0.24
"131",0.12
"132",0.34
"133",0.24
"134",0.26
"135",0.14
"136",0.15
"137",0.29
"138",0.3
"139",0.18
"140",0.37
"141",0.2
"142",0.43
"143",0.15
"144",0.32
"145",0.24
"146",0.34
"147",0.28
"148",0.45
"149",0.28
"150",0.3
"151",0.19
"152",0.46
"153",0.3
"154",0.51
"155",0.18
"156",0.48
"157",0.33
"158",0.33
"159",0.38
"160",0.18
"161",0.53
"162",0.34
"163",0.23
"164",0.28
"165",0.26
"166",0.49
"167",0.39
"168",0.18
"169",0.43
"170",0.26
"171",0.26
"172",0.35
"173",0.25
"174",0.16
"175",0.18
"176",0.23
"177",0.34
"178",0.3
"179",0.23
"180",0.3
"181",0.59
